ROI_TOTAL.Photons.s,MEAN.Photons.s.cm.2.sr,AREA.Pixels..cm.2,Treatment,Site,Mouse,day,exp
326934.38,1830.5846,14.21,10^6 K181,Body,P-25,0,20
321407.06,1799.6359,14.21,10^6 K181,Body,P-26,0,20
224898.95,1259.2635,14.21,10^6 K181,Body,P-27,0,20
164967.72,4189.7783,3.133,10^6 K181,Salivary Gland,P-23,1,20
240378.97,6105.0405,3.133,10^6 K181,Salivary Gland,P-24,1,20
506737.06,12869.888,3.133,10^6 K181,Salivary Gland,P-25,1,20
316041.03,8026.6733,3.133,10^6 K181,Salivary Gland,P-26,1,20
291996.88,7416.0098,3.133,10^6 K181,Salivary Gland,P-27,1,20
3.29E+08,1842070.8,14.21,10^6 K181,Body,P-23,1,20
3.17E+08,1773631.8,14.21,10^6 K181,Body,P-24,1,20
61871012,346430.75,14.21,10^6 K181,Body,P-25,1,20
10627862,59507.965,14.21,10^6 K181,Body,P-26,1,20
1.54E+08,860912.25,14.21,10^6 K181,Body,P-27,1,20
219868.84,5584.1333,3.133,10^6 K181,Salivary Gland,P-23,2,20
353701.88,8983.167,3.133,10^6 K181,Salivary Gland,P-24,2,20
477756.84,12133.861,3.133,10^6 K181,Salivary Gland,P-25,2,20
368438.31,9357.4365,3.133,10^6 K181,Salivary Gland,P-26,2,20
264991.97,6730.1514,3.133,10^6 K181,Salivary Gland,P-27,2,20
3.87E+08,2164804.5,14.21,10^6 K181,Body,P-23,2,20
4.85E+08,2713838,14.21,10^6 K181,Body,P-24,2,20
1.49E+08,833747.06,14.21,10^6 K181,Body,P-25,2,20
47887252,268132.31,14.21,10^6 K181,Body,P-26,2,20
1.45E+08,812065.25,14.21,10^6 K181,Body,P-27,2,20
220675.08,5604.6104,3.133,10^6 K181,Salivary Gland,P-23,3,20
272897.72,6930.9375,3.133,10^6 K181,Salivary Gland,P-24,3,20
768006.88,19505.506,3.133,10^6 K181,Salivary Gland,P-25,3,20
972570.44,24700.922,3.133,10^6 K181,Salivary Gland,P-26,3,20
211730.2,5377.4321,3.133,10^6 K181,Salivary Gland,P-27,3,20
2.91E+08,1628482.1,14.21,10^6 K181,Body,P-23,3,20
6.33E+08,3544900.5,14.21,10^6 K181,Body,P-24,3,20
1.21E+08,677474.81,14.21,10^6 K181,Body,P-25,3,20
74951560,419671.91,14.21,10^6 K181,Body,P-26,3,20
4.56E+08,2555481.5,14.21,10^6 K181,Body,P-27,3,20
184962.7,4697.6025,3.133,10^6 K181,Salivary Gland,P-23,4,20
136737.75,3472.8064,3.133,10^6 K181,Salivary Gland,P-24,4,20
2211830.5,56175.109,3.133,10^6 K181,Salivary Gland,P-25,4,20
2937009.8,74592.898,3.133,10^6 K181,Salivary Gland,P-26,4,20
330087.69,8383.4248,3.133,10^6 K181,Salivary Gland,P-27,4,20
2.17E+08,1213618.3,14.21,10^6 K181,Body,P-23,4,20
